ein,business_name,source_zip,source_entry
371443189,"GO INTERNATIONAL MISSION",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300169349200745_public.xml"
562437605,"HILL BARTH &amp; KING LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300169349201215_public.xml"
611513200,"KASILOF PUBLIC LIBRARY",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300169349201405_public.xml"
953886833,"LINDSAY AND COMPANY LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300169349300035_public.xml"
371895589,"RAULERSON CASTILLO &amp; COMPANY PA",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300169349300420_public.xml"
351268208,"LEGACY PROFESSIONALS LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300169349300425_public.xml"
570400029,"BNA CPAs &amp; Advisors",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300169349300530_public.xml"
752158093,"INSTITUTE FOR POLICY INNOVATION",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300169349300800_public.xml"
660585077,"COHNREZNICK LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202310169349301106_public.xml"
836005183,"HIGHPOINT CPAS LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300169349301220_public.xml"
550784532,"CLARKSBURG CONVENTION &amp; VISITORS BUREAU INC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300169349301465_public.xml"
316087639,"MITCHELL S MEYERS &amp; JACQUELINE P MEYER FOUNDATION",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349100200_public.xml"
367312136,"CATHY &amp; JOE FELDMAN CHARITABLE TR",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349100300_public.xml"
853363410,"ESI Foundation",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349100500_public.xml"
616467029,"MARTZ ACCOUNTANCY CORPORATION",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349100610_public.xml"
592263586,"SEAMANS OUTREACH SERVICES INC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349100700_public.xml"
410741763,"BRADY MARTZ &amp; ASSOCIATES PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349200010_public.xml"
201791048,"AMERICAN RIVER BANK FOUNDATION",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349200330_public.xml"
352420180,"A J Farmer CPA",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349200630_public.xml"
842525450,"RSVP VOLUNTEERS IN SERVICE",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349200730_public.xml"
263342263,"WOLF &amp; COMPANY PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349201070_public.xml"
472536174,"Hasp Financial Solutions LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349201125_public.xml"
474500143,"Gary J Fernandez and Associates Ltd",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349201135_public.xml"
237353699,"Catherine Cheung A Prof Corp",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349201140_public.xml"
814463688,"ATCHLEY &amp; ASSOCIATES LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349201170_public.xml"
980158157,"V TAX FILING LIMITED PARTNERSHIP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349300205_public.xml"
481150843,"ALLEN GIBBS &amp; HOULIK LC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202310179339300101_public.xml"
770479067,"CROWE LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349300515_public.xml"
842417020,"BRIM &amp; ASSOCIATES CPAS LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349300735_public.xml"
473274160,"VONLEHMAN &amp; COMPANY INC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349300900_public.xml"
360804150,"SELDEN FOX LTD",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349300920_public.xml"
251807686,"GROSSMAN YANAK &amp; FORD LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349301100_public.xml"
920171866,"ALLIANCE CPAS LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202330179339300533_public.xml"
161580043,"GROGAN &amp; STUFFLEBEAM CPAS LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349301805_public.xml"
810243162,"Paigeville Accounting Services LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300179349301870_public.xml"
246018079,"CAMPBELL RAPPOLD &amp; YURASITS LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202310179339300986_public.xml"
836069777,"SAMUEL S ADELSBERG &amp; CO",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349100305_public.xml"
873425986,"Balanced Accounting Solutions LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349100600_public.xml"
942779003,"CAMELBACK KIWANIS SERVICE FUND",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349200010_public.xml"
943186344,"Zoraida Rapanut",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349200210_public.xml"
472747371,"Gainspoletti &amp; Associates CPA LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349200310_public.xml"
871686167,"MEADEN &amp; MOORE LTD",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349200500_public.xml"
820375907,"CHIGBROW RYAN MURATA CHTD",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349200515_public.xml"
